playerhand;dealerhand;choice;outcome
17;5;1;1
13;7;1;1
20;10;2;2
14;8;1;1
10;10;2;3
12;3;1;3
20;5;2;3
16;5;2;1
13;11;1;1
9;10;1;1
14;10;1;1
20;10;2;2
20;3;2;3
9;2;1;1
16;8;2;1
14;10;2;1
12;11;1;3
11;2;1;3
19;9;2;3
15;7;2;1
11;3;1;1
7;7;1;1
14;8;1;1
14;3;1;1
13;6;2;3
6;10;1;1
12;10;2;1
12;10;1;3
16;10;2;3
12;2;1;1
10;9;2;1
20;5;1;1
15;11;2;1
17;10;1;1
12;10;1;1
14;9;2;1
14;6;1;3
8;2;2;1
12;4;1;3
13;10;2;1
18;11;1;1
15;10;2;1
19;11;1;1
11;4;1;3
20;10;2;3
20;8;2;3
20;5;1;1
14;10;1;1
20;3;2;3
12;7;1;2
11;10;1;1
13;6;1;3
13;4;1;3
15;2;2;3
20;11;1;1
15;9;2;1
8;4;1;2
17;10;2;3
16;10;1;1
19;10;2;1
13;10;1;1
8;3;1;2
20;10;2;2
12;10;1;3
10;5;1;3
15;8;2;1
19;7;2;3
20;3;2;1
12;3;1;1
16;10;2;1
13;5;1;3
20;7;2;3
14;11;1;1
4;2;1;1
15;10;2;3
20;11;2;3
12;7;1;3
15;6;2;3
19;2;2;3
14;4;2;1
20;10;2;3
17;7;2;1
15;10;1;3
18;7;2;2
15;11;1;1
13;9;2;1
8;10;1;1
14;4;1;3
10;11;1;1
11;10;1;1
19;3;2;3
